,Name,Link
96,Rajiv Jhangiani,https://scholar.google.com//citations?hl=en&user=DI9Z614AAAAJ
97,Janet Conway,https://scholar.google.com//citations?hl=en&user=qMgWz8MAAAAJ
98,Fiona F. Hunter,https://scholar.google.com//citations?hl=en&user=XWwTP34AAAAJ
99,Paula Duarte-Guterman,https://scholar.google.com//citations?hl=en&user=2xg_84sAAAAJ
100,Stephen M. Emrich,https://scholar.google.com//citations?hl=en&user=iPEgQ-gAAAAJ
101,Xavier Fazio,https://scholar.google.com//citations?hl=en&user=GjIR7SwAAAAJ
102,B. Yasanthi Perera,https://scholar.google.com//citations?hl=en&user=0nZVzkgAAAAJ
103,Julia Baird,https://scholar.google.com//citations?hl=en&user=9u3i16oAAAAJ
104,Stephen D Glasgow,https://scholar.google.com//citations?hl=en&user=YRlJn1sAAAAJ
105,Martin T. Lemaire,https://scholar.google.com//citations?hl=en&user=clnyvd0AAAAJ
106,Caitlin Mahy,https://scholar.google.com//citations?hl=en&user=m4Acq9oAAAAJ
107,Erin Sharpe,https://scholar.google.com//citations?hl=en&user=rzUDYq8AAAAJ
108,Ke Qiu,https://scholar.google.com//citations?hl=en&user=2loFif8AAAAJ
109,Edward I. Patterson,https://scholar.google.com//citations?hl=en&user=QCELWpEAAAAJ
110,Paul Dunn,https://scholar.google.com//citations?hl=en&user=bo4GE8UAAAAJ
111,Val Andrew Fajardo,https://scholar.google.com//citations?hl=en&user=DkNdvxwAAAAJ
112,Kai-Yu Wang,https://scholar.google.com//citations?hl=en&user=1IB5K9YAAAAJ
113,Hemantha Herath,https://scholar.google.com//citations?hl=en&user=GSGnbo0AAAAJ
114,Stuart Rothstein,https://scholar.google.com//citations?hl=en&user=nKPtX1EAAAAJ
115,Nancy Taber,https://scholar.google.com//citations?hl=en&user=Wzoe6x8AAAAJ
116,Yuko Watanabe,https://scholar.google.com//citations?hl=en&user=Qm9Uk3MAAAAJ
117,Candace Figg,https://scholar.google.com//citations?hl=en&user=mZZV50UAAAAJ
118,Kamini Jaipal or Kamini  Jaipal-Jamani,https://scholar.google.com//citations?hl=en&user=eloJlpgAAAAJ
119,Michael L. Naraine,https://scholar.google.com//citations?hl=en&user=HJ-jG2cAAAAJ
120,Lorenzo Cherubini,https://scholar.google.com//citations?hl=en&user=XaC5WSQAAAAJ
121,D. Paul Scarbrough,https://scholar.google.com//citations?hl=en&user=swZ80oYAAAAJ
122,Saima Naseer,https://scholar.google.com//citations?hl=en&user=mJOXwvkAAAAJ
123,Alisa Grigorovich,https://scholar.google.com//citations?hl=en&user=3v4s_HEAAAAJ
124,Kendra Thomson,https://scholar.google.com//citations?hl=en&user=KxwPAJQAAAAJ
125,Todd Green,https://scholar.google.com//citations?hl=en&user=UPSfooQAAAAJ
126,Hichem Ben-El-Mechaiekh,https://scholar.google.com//citations?hl=en&user=zPiUxOgAAAAJ
127,Brad Millington,https://scholar.google.com//citations?hl=en&user=KQ5-vEQAAAAJ
128,tanya tang,https://scholar.google.com//citations?hl=en&user=y9cWxF0AAAAJ
129,Cathy van Ingen,https://scholar.google.com//citations?hl=en&user=HM0Hl_wAAAAJ
130,Cheryl Mallen,https://scholar.google.com//citations?hl=en&user=MS6dJeEAAAAJ
131,Mike Holmes,https://scholar.google.com//citations?hl=en&user=CRl7X8wAAAAJ
132,Robson De Grande,https://scholar.google.com//citations?hl=en&user=L7cdSB0AAAAJ
133,Sadia Jahanzeb,https://scholar.google.com//citations?hl=en&user=G-JelFsAAAAJ
134,Jan Vrbik,https://scholar.google.com//citations?hl=en&user=mS88_7IAAAAJ
135,Jeffrey D Graham,https://scholar.google.com//citations?hl=en&user=YEKndRsAAAAJ
136,Amanda M Black,https://scholar.google.com//citations?hl=en&user=RrzFyoIAAAAJ
137,Paul Zelisko,https://scholar.google.com//citations?hl=en&user=U5kWu8sAAAAJ
138,Valdeep Saini,https://scholar.google.com//citations?hl=en&user=M85qXcAAAAAJ
139,Joachim Scholz,https://scholar.google.com//citations?hl=en&user=tjqhpe0AAAAJ
140,Abdul Rehman Ashraf,https://scholar.google.com//citations?hl=en&user=oCkBTm0AAAAJ
141,Amir Mofidi,https://scholar.google.com//citations?hl=en&user=wortPXgAAAAJ
142,Waqar Nadeem,https://scholar.google.com//citations?hl=en&user=UAXvPMUAAAAJ
143,C. Buteau,https://scholar.google.com//citations?hl=en&user=O0kiZAIAAAAJ
144,Anteneh Ayanso,https://scholar.google.com//citations?hl=en&user=cf2ZhsQAAAAJ
145,Jeff Boggs,https://scholar.google.com//citations?hl=en&user=NfZgJVAAAAAJ
146,Miya Narushima,https://scholar.google.com//citations?hl=en&user=g2pNDHcAAAAJ
147,Adam J. MacNeil,https://scholar.google.com//citations?hl=en&user=GISTPncAAAAJ
148,Asif R. Khowaja,https://scholar.google.com//citations?hl=en&user=yfJQoGYAAAAJ
149,Martin Danahay,https://scholar.google.com//citations?hl=en&user=4QZU9N8AAAAJ
150,Dawn Zinga,https://scholar.google.com//citations?hl=en&user=--px-OMAAAAJ
151,Naomi CZ Andrews,https://scholar.google.com//citations?hl=en&user=02L3FJYAAAAJ
152,Tatyana Sokolyk,https://scholar.google.com//citations?hl=en&user=npR2Ec0AAAAJ
153,Lissa Paul,https://scholar.google.com//citations?hl=en&user=b5719coAAAAJ
154,Samantha Hajna,https://scholar.google.com//citations?hl=en&user=Yfg3zvMAAAAJ
155,Antonia Mantonakis,https://scholar.google.com//citations?hl=en&user=z8dBQ_0AAAAJ
156,Heather Ramey,https://scholar.google.com//citations?hl=en&user=LJCPcWkAAAAJ
157,Valerie Michaelson,https://scholar.google.com//citations?hl=en&user=VQ9grDkAAAAJ
158,Adam Kanar,https://scholar.google.com//citations?hl=en&user=LOSA0h8AAAAJ
159,Negin Riazi,https://scholar.google.com//citations?hl=en&user=EmIC7pgAAAAJ
160,R. Ganesh,https://scholar.google.com//citations?hl=en&user=nxkooFkAAAAJ
161,Gillian Dale,https://scholar.google.com//citations?hl=en&user=3ZCuNy4AAAAJ
162,Sudarsana Poojari,https://scholar.google.com//citations?hl=en&user=lXLgev8AAAAJ
163,Matthew Green,https://scholar.google.com//citations?hl=en&user=I0DwzZEAAAAJ
164,Samir Trabelsi,https://scholar.google.com//citations?hl=en&user=xAHVX0AAAAAJ
165,Somayeh Hashemi,https://scholar.google.com//citations?hl=en&user=lD57cawAAAAJ
166,Pascale Lapointe-Antunes,https://scholar.google.com//citations?hl=en&user=kB26uOEAAAAJ
167,Sheridan Houghten,https://scholar.google.com//citations?hl=en&user=KNelux0AAAAJ
168,Taylor Wright,https://scholar.google.com//citations?hl=en&user=Z9KWTY4AAAAJ
169,Felice Martinello,https://scholar.google.com//citations?hl=en&user=JCqKKxgAAAAJ
170,Jane Helleiner,https://scholar.google.com//citations?hl=en&user=8UTgrI8AAAAJ
171,"Ernest N. Biktimirov, Ph.D., CFA",https://scholar.google.com//citations?hl=en&user=jX3bpwoAAAAJ
172,Richard C. Mitchell,https://scholar.google.com//citations?hl=en&user=MJzAh78AAAAJ
173,Veena D. Dwivedi,https://scholar.google.com//citations?hl=en&user=pLgQotQAAAAJ
174,Carolina Luft,https://scholar.google.com//citations?hl=en&user=8x7ANCsAAAAJ
175,Christine Daigle,https://scholar.google.com//citations?hl=en&user=nYlaScsAAAAJ
176,Erin Panda,https://scholar.google.com//citations?hl=en&user=ArrExXsAAAAJ
177,Ann H. Farrell,https://scholar.google.com//citations?hl=en&user=qFPaT4IAAAAJ
178,Wesley Helms,https://scholar.google.com//citations?hl=en&user=iB3RBcAAAAAJ
179,Timothy I Murphy,https://scholar.google.com//citations?hl=en&user=hsd-STYAAAAJ
180,Celine Teo,https://scholar.google.com//citations?hl=en&user=vde-X0sAAAAJ
181,Robert Steinbauer,https://scholar.google.com//citations?hl=en&user=5IEs0GEAAAAJ
182,James Greig Inglis,https://scholar.google.com//citations?hl=en&user=QbwBPLEAAAAJ
183,Sylvia Grewatsch,https://scholar.google.com//citations?hl=en&user=AEEbRQ8AAAAJ
184,Joanne L. Reid,https://scholar.google.com//citations?hl=en&user=XCo0g6AAAAAJ
185,Charles Conteh,https://scholar.google.com//citations?hl=en&user=RgjlFeEAAAAJ
186,B. Timothy Heinmiller,https://scholar.google.com//citations?hl=en&user=uLaxAB0AAAAJ
187,Michelle Vine,https://scholar.google.com//citations?hl=en&user=8_9Jcl8AAAAJ
188,Megan Earle,https://scholar.google.com//citations?hl=en&user=sRdYWfsAAAAJ
189,Derek Foster - 3 boxes,https://scholar.google.com//citations?hl=en&user=9OLgdAcAAAAJ
190,Danja Den Hartogh,https://scholar.google.com//citations?hl=en&user=on5CmWIAAAAJ
191,Naser Ezzati-Jivan,https://scholar.google.com//citations?hl=en&user=sJWcLv8AAAAJ
192,Colleen Whyte,https://scholar.google.com//citations?hl=en&user=egNR2TsAAAAJ
193,Ali Emami,https://scholar.google.com//citations?hl=en&user=Pjdq8cUAAAAJ
194,Allison Glazebrook,https://scholar.google.com//citations?hl=en&user=0x7Y0M0AAAAJ
195,Renata Dividino,https://scholar.google.com//citations?hl=en&user=78Z5hMkAAAAJ
196,Trevor Norris,https://scholar.google.com//citations?hl=en&user=-ae9X8MAAAAJ
197,"Ismaila NURAIN, PhD",https://scholar.google.com//citations?hl=en&user=FfR_XA8AAAAJ
198,William Hall,https://scholar.google.com//citations?hl=en&user=hzGiFo4AAAAJ
199,Nicola Simmons,https://scholar.google.com//citations?hl=en&user=2E_iwu8AAAAJ
200,Deborah McPhee,https://scholar.google.com//citations?hl=en&user=_25-N-QAAAAJ
201,Jonathan Simone,https://scholar.google.com//citations?hl=en&user=j7RWae0AAAAJ
202,Hamnah Shahid,https://scholar.google.com//citations?hl=en&user=s_X-8ygAAAAJ
203,Pouria Ramazi,https://scholar.google.com//citations?hl=en&user=aGmGG7cAAAAJ
204,Asma Zafar,https://scholar.google.com//citations?hl=en&user=qBwNGeAAAAAJ
205,Glaucio HS Carvalho,https://scholar.google.com//citations?hl=en&user=FpsN380AAAAJ
206,Blayne Haggart,https://scholar.google.com//citations?hl=en&user=DZB3h5AAAAAJ
207,Rob Millington,https://scholar.google.com//citations?hl=en&user=HjSM1I4AAAAJ
208,William Gittings,https://scholar.google.com//citations?hl=en&user=P-RMlSoAAAAJ
209,Diane R Collier,https://scholar.google.com//citations?hl=en&user=ldVWKdoAAAAJ
210,Karen Bordonaro,https://scholar.google.com//citations?hl=en&user=9y02K0kAAAAJ
211,Lynn Dempsey,https://scholar.google.com//citations?hl=en&user=oCkjWsoAAAAJ
212,Tim Kenyon,https://scholar.google.com//citations?hl=en&user=MY-vhW8AAAAJ
213,Brent Wiens,https://scholar.google.com//citations?hl=en&user=CKb0FyEAAAAJ
214,A. Marcel Oestreich,https://scholar.google.com//citations?hl=en&user=K9beo9cAAAAJ
215,Kyle A. Rich,https://scholar.google.com//citations?hl=en&user=MWVeyGIAAAAJ
216,Snežana Obradović-Ratković,https://scholar.google.com//citations?hl=en&user=G5tmuLwAAAAJ
217,Elliott MacDonell,https://scholar.google.com//citations?hl=en&user=sukr0UoAAAAJ
218,Matthew M Mallette,https://scholar.google.com//citations?hl=en&user=PCOFt7EAAAAJ
219,Karen Louise Smith,https://scholar.google.com//citations?hl=en&user=bs2CB5AAAAAJ
220,Alan Cudlip,https://scholar.google.com//citations?hl=en&user=tN1QwKsAAAAJ
221,Shawn M. Beaudette,https://scholar.google.com//citations?hl=en&user=4d1hKfsAAAAJ
222,Marian Bredin,https://scholar.google.com//citations?hl=en&user=1DSovugAAAAJ
223,"Ratkovic, Snezana",https://scholar.google.com//citations?hl=en&user=a4ht6tAAAAAJ
224,Parisa Abbasi,https://scholar.google.com//citations?hl=en&user=6VYhOYUAAAAJ
225,Sabrina Thai,https://scholar.google.com//citations?hl=en&user=Br13aIYAAAAJ
226,Kate Aiko Wickham,https://scholar.google.com//citations?hl=en&user=xk5UEMAAAAAJ
227,Xiaojian Xu,https://scholar.google.com//citations?hl=en&user=8tFBov8AAAAJ
228,Douglas D. Karrow,https://scholar.google.com//citations?hl=en&user=i-qrvngAAAAJ
229,Rahnuma Islam Nishat,https://scholar.google.com//citations?hl=en&user=_ZD3VpcAAAAJ
230,Manuella G. Vincter,https://scholar.google.com//citations?hl=en&user=V7BwwVUAAAAJ
231,Thomas Koffas,https://scholar.google.com//citations?hl=en&user=8Dz6dZ0AAAAJ
232,Dag Gillberg,https://scholar.google.com//citations?hl=en&user=gh8bkTcAAAAJ
233,Simon Viel,https://scholar.google.com//citations?hl=en&user=CW_2oEkAAAAJ
234,Alain Bellerive,https://scholar.google.com//citations?hl=en&user=RLdKqn8AAAAJ
235,Jesse Heilman,https://scholar.google.com//citations?hl=en&user=rfKlkfIAAAAJ
236,Lenore Fahrig,https://scholar.google.com//citations?hl=en&user=Htef610AAAAJ
237,Steven J. Cooke,https://scholar.google.com//citations?hl=en&user=CAlipoMAAAAJ
238,Paul C. van Oorschot,https://scholar.google.com//citations?hl=en&user=CMRzTi8AAAAJ
239,Kenneth B. Storey,https://scholar.google.com//citations?hl=en&user=mzhKxEoAAAAJ
240,F. Richard Yu,https://scholar.google.com//citations?hl=en&user=zuGMGBoAAAAJ
241,Hymie Anisman,https://scholar.google.com//citations?hl=en&user=rVGg3gYAAAAJ
242,JNK Rao,https://scholar.google.com//citations?hl=en&user=_PUtc_kAAAAJ
243,DWO Rogers,https://scholar.google.com//citations?hl=en&user=gkEX5YcAAAAJ
244,Halim Yanikomeroglu,https://scholar.google.com//citations?hl=en&user=C2iee4YAAAAJ
245,Robert J Coplan,https://scholar.google.com//citations?hl=en&user=ns57oAoAAAAJ
246,David Sinclair,https://scholar.google.com//citations?hl=en&user=5XOtVDAAAAAJ
247,MG Boulay or M. Boulay or Mark Boulay,https://scholar.google.com//citations?hl=en&user=T5RpAP0AAAAJ
248,Paul Villeneuve,https://scholar.google.com//citations?hl=en&user=Y7AUCf0AAAAJ
249,Kevin Graham,https://scholar.google.com//citations?hl=en&user=4Kl_rp0AAAAJ
250,Jo-Anne LeFevre,https://scholar.google.com//citations?hl=en&user=tIRxtzAAAAAJ
251,Monique Sénéchal,https://scholar.google.com//citations?hl=en&user=QPGURz4AAAAJ
252,Michael JA Wohl,https://scholar.google.com//citations?hl=en&user=dn8zoNQAAAAJ
253,Stephen Godfrey,https://scholar.google.com//citations?hl=en&user=WgpXlTsAAAAJ
254,Jacques Albert,https://scholar.google.com//citations?hl=en&user=rHFAiIkAAAAJ
255,Linda Duxbury,https://scholar.google.com//citations?hl=en&user=qLDikFkAAAAJ
256,Jie Liu,https://scholar.google.com//citations?hl=en&user=ueDEEY8AAAAJ
257,Peter X. Liu,https://scholar.google.com//citations?hl=en&user=PUT-52IAAAAJ
258,Vinod Kumar,https://scholar.google.com//citations?hl=en&user=WOCM4W4AAAAJ
259,Heather E. Logan,https://scholar.google.com//citations?hl=en&user=FQcl21MAAAAJ
260,nicolas papadopoulos,https://scholar.google.com//citations?hl=en&user=CaTSt2AAAAAJ
261,William Walters,https://scholar.google.com//citations?hl=en&user=wZKwRMcAAAAJ
262,Adelle Forth,https://scholar.google.com//citations?hl=en&user=OQJef3kAAAAJ
263,Andy Adler,https://scholar.google.com//citations?hl=en&user=bO8me80AAAAJ
264,Nicola Santoro,https://scholar.google.com//citations?hl=en&user=A9jJPF8AAAAJ
265,Evangelos Kranakis,https://scholar.google.com//citations?hl=en&user=fDcEuo4AAAAJ
266,Jean-Guy J. Godin,https://scholar.google.com//citations?hl=en&user=C6C4hR0AAAAJ
267,John M. Zelenski,https://scholar.google.com//citations?hl=en&user=BXtCl28AAAAJ
268,QJ Zhang,https://scholar.google.com//citations?hl=en&user=mT39TZ4AAAAJ
269,Martin Holcik,https://scholar.google.com//citations?hl=en&user=nluwC9EAAAAJ
270,James Meadowcroft,https://scholar.google.com//citations?hl=en&user=_xKgstMAAAAJ
271,christopher g davis,https://scholar.google.com//citations?hl=en&user=LKmNj-IAAAAJ
272,Anil Somayaji,https://scholar.google.com//citations?hl=en&user=cQUT9bAAAAAJ
273,Thomas N. Sherratt,https://scholar.google.com//citations?hl=en&user=05Uw_XEAAAAJ
274,Stephan Gruber,https://scholar.google.com//citations?hl=en&user=7GvXCj8AAAAJ
275,Kimberly Matheson,https://scholar.google.com//citations?hl=en&user=69E2o7QAAAAJ
276,Robert Biddle,https://scholar.google.com//citations?hl=en&user=Z3jkhWIAAAAJ
277,Ron Miller,https://scholar.google.com//citations?hl=en&user=MA9ZMtkAAAAJ
278,Louise Heslop,https://scholar.google.com//citations?hl=en&user=4ja4Ft0AAAAJ
279,Maria C. DeRosa,https://scholar.google.com//citations?hl=en&user=-5pSVBQAAAAJ
280,Prosenjit Bose,https://scholar.google.com//citations?hl=en&user=1jR53ZQAAAAJ
281,James S. Wright,https://scholar.google.com//citations?hl=en&user=t_93DtUAAAAJ
282,Patrice Smith,https://scholar.google.com//citations?hl=en&user=h0Rt64MAAAAJ
283,Yvan Labiche,https://scholar.google.com//citations?hl=en&user=YaZpm7h6qnwC
284,Miklos Csorgo,https://scholar.google.com//citations?hl=en&user=Ho2DjKAAAAAJ
285,Uma Kumar,https://scholar.google.com//citations?hl=en&user=TF-zAW8AAAAJ
286,Graeme Auld,https://scholar.google.com//citations?hl=en&user=rTvd70IAAAAJ
287,Minyi Huang,https://scholar.google.com//citations?hl=en&user=of_arqMAAAAJ
288,Robert J. Crutchley,https://scholar.google.com//citations?hl=en&user=WNbX7cQAAAAJ
289,Shawn Hayley,https://scholar.google.com//citations?hl=en&user=NAoe3CcAAAAJ
290,William O'Brien,https://scholar.google.com//citations?hl=en&user=xG1lbcsAAAAJ
291,Owen Rowland,https://scholar.google.com//citations?hl=en&user=0GiLe18AAAAJ
292,Kathryn Freemark Lindsay,https://scholar.google.com//citations?hl=en&user=_anBwNIAAAAJ
293,Mika Westerlund,https://scholar.google.com//citations?hl=en&user=PGDlCUoAAAAJ
294,Rafik Goubran,https://scholar.google.com//citations?hl=en&user=Giy-AmwAAAAJ
295,John D. Dixon,https://scholar.google.com//citations?hl=en&user=8gFsNwoAAAAJ
296,Donald  Dawson,https://scholar.google.com//citations?hl=en&user=iN_fRdQAAAAJ
297,Christopher Burn,https://scholar.google.com//citations?hl=en&user=l3r66cEAAAAJ
298,Gabriel Wainer,https://scholar.google.com//citations?hl=en&user=eydj1p0AAAAJ
299,B. John Oommen,https://scholar.google.com//citations?hl=en&user=E5TiDR4AAAAJ
300,Yuhong Guo,https://scholar.google.com//citations?hl=en&user=Q7VKnRYAAAAJ
301,Thomas Kunz,https://scholar.google.com//citations?hl=en&user=hpoHOqYAAAAJ
302,Pat Morin,https://scholar.google.com//citations?hl=en&user=n0eHj_cAAAAJ
303,Shaohan Alan Cai,https://scholar.google.com//citations?hl=en&user=0QaC0j0AAAAJ
304,Nassim Tabri,https://scholar.google.com//citations?hl=en&user=v9yV-CbmaUMC
305,Sonia Chiasson,https://scholar.google.com//citations?hl=en&user=wg8yZz8AAAAJ
